Students,,,,
Category,Below Partially Meets Global Minimum Global Proficiency Levels,Partially Meets Global Minimum Global Proficiency Levels,Meets Global Minimum Global Proficiency Levels,Exceeds Global Minimum Global Proficiency Levels
Benchmark,0-42,43-69,70-83,84 and above
Andaman & Nicobar Islands,5,57,33,5
Andhra Pradesh,9,38,44,9
Arunachal Pradesh,8,49,37,6
Assam,18,36,38,8
Bihar,9,25,48,18
Chandigarh,14,47,38,1
Chhattisgarh,18,41,36,5
Daman Diu & Dadra Nagar Haveli,8,33,52,7
Delhi,12,41,40,7
Goa,15,50,32,3
Gujarat,18,44,31,7
Haryana,8,41,45,6
Himachal Pradesh,5,36,48,11
Jammu & Kashmir,28,34,30,8
Jharkhand,2,30,55,13
Karnataka,8,36,42,14
Kerala,7,38,46,9
Ladakh,1,48,41,10
Lakshadweep,3,17,76,4
Madhya Pradesh,13,46,35,6
Maharashtra,11,37,42,10
Manipur,7,39,43,11
Meghalaya,8,40,42,10
Mizoram,9,40,39,12
Nagaland,16,56,26,2
Odisha,13,29,44,14
Puducherry,9,39,38,14
Punjab,10,37,45,8
Rajasthan,7,38,44,11
Sikkim,13,49,36,2
Tamilnadu,29,48,20,3
Telangana,11,38,40,11
Tripura,7,31,50,12
Uttar Pradesh,7,31,49,13
Uttarakhand,7,34,54,5
West Bengal,5,26,53,16
,,,,
Girls,,,,
Category,Below Partially Meets Global Minimum Global Proficiency Levels,Partially Meets Global Minimum Global Proficiency Levels,Meets Global Minimum Global Proficiency Levels,Exceeds Global Minimum Global Proficiency Levels
Benchmark,0-42,43-69,70-83,84 and above
Andaman & Nicobar Islands,6,55,33,6
Andhra Pradesh,8,37,43,12
Arunachal Pradesh,8,52,36,4
Assam,20,37,34,9
Bihar,9,25,47,19
Chandigarh,14,51,35,0
Chhattisgarh,19,42,35,4
Daman Diu and Dadra Nagar Haveli,7,40,47,6
Delhi,13,42,39,6
Goa,17,51,30,2
Gujarat,19,44,29,8
Haryana,10,40,44,6
Himachal Pradesh,7,33,50,10
Jammu & Kashmir,32,34,26,8
Jharkhand,2,30,53,15
Karnataka,8,36,41,15
Kerala,6,40,44,10
Ladakh,1,49,39,11
Lakshadweep,3,18,75,4
Madhya Pradesh,14,46,36,4
Maharashtra,11,38,42,9
Manipur,8,38,42,12
Meghalaya,9,43,39,9
Mizoram,11,39,40,10
Nagaland,21,53,23,3
Odisha,12,29,43,16
Puducherry,9,38,37,16
Punjab,11,39,42,8
Rajasthan,7,40,44,9
Sikkim,16,46,36,2
Tamilnadu,28,48,21,3
Telangana,11,39,40,10
Tripura,8,32,47,13
Uttar Pradesh,7,33,48,12
Uttarakhand,7,35,53,5
West Bengal,6,27,52,15
,,,,
Boys,,,,
Category,Below Partially Meets Global Minimum Global Proficiency Levels,Partially Meets Global Minimum Global Proficiency Levels,Meets Global Minimum Global Proficiency Levels,Exceeds Global Minimum Global Proficiency Levels
Benchmark,0-42,43-69,70-83,84 and above
Andaman & Nicobar Islands,4,59,33,4
Andhra Pradesh,10,40,44,6
Arunachal Pradesh,8,46,37,9
Assam,17,35,40,8
Bihar,9,26,47,18
Chandigarh,14,43,41,2
Chhattisgarh,17,40,37,6
Daman Diu and Dadra Nagar Haveli,8,27,57,8
Delhi,11,39,41,9
Goa,13,49,34,4
Gujarat,17,44,33,6
Haryana,6,42,46,6
Himachal Pradesh,4,38,45,13
Jammu & Kashmir,24,35,33,8
Jharkhand,2,31,56,11
Karnataka,8,37,42,13
Kerala,8,37,47,8
Ladakh,2,47,43,8
Lakshadweep,4,16,76,4
Madhya Pradesh,12,46,35,7
Maharashtra,12,35,43,10
Manipur,6,41,43,10
Meghalaya,7,38,43,12
Mizoram,7,40,39,14
Nagaland,11,59,28,2
Odisha,15,28,44,13
Puducherry,9,39,40,12
Punjab,10,36,46,8
Rajasthan,8,36,44,12
Sikkim,11,53,33,3
Tamilnadu,30,48,19,3
Telangana,11,36,42,11
Tripura,7,30,52,11
Uttar Pradesh,7,30,49,14
Uttarakhand,6,34,55,5
West Bengal,5,23,55,17
